V,E,C,genus,B,largest
1986,2755,70,839,5694,1900
2007,2722,80,795,5870,1899
2089,2996,35,942,5755,2048
2049,2877,70,898,5786,1937
2006,2768,67,829,5765,1914
2018,2765,67,814,5814,1924
2131,3111,42,1022,5757,2059
2056,2888,56,888,5816,1973
2054,2921,65,932,5743,1951
2027,2822,57,852,5742,1953
2063,2918,54,909,5745,1981
2063,2973,50,960,5658,1993
2067,2952,53,938,5731,1984
2056,2880,66,890,5823,1969
1976,2682,66,772,5769,1873
2125,3096,56,1027,5751,2025
2018,2763,64,809,5817,1925
2048,2904,58,914,5709,1973
2055,2889,63,897,5796,1966
2104,3006,49,951,5831,2035
2031,2826,76,871,5776,1920
2114,3051,49,986,5796,2035
2044,2831,62,849,5829,1969
2054,2920,58,924,5750,1973
2036,2813,53,830,5830,1964
1986,2695,74,783,5765,1896
2043,2899,65,921,5706,1950
2128,3145,47,1064,5672,2060
2077,2978,49,950,5719,2009
2031,2894,64,927,5629,1947
2040,2869,59,888,5741,1965
2053,2855,70,872,5824,1964
2061,2900,54,893,5798,1991
2103,3022,61,980,5794,2025
2065,2927,49,911,5763,1985
2056,2884,56,884,5802,1963
2029,2822,56,849,5798,1938
2110,3083,57,1030,5732,2013
2062,2899,53,890,5806,1997
2015,2742,74,801,5846,1904
2108,3033,52,977,5785,2037
2065,2935,43,913,5742,2003
2042,2806,61,825,5848,1967
2019,2828,62,871,5695,1927
2015,2749,66,800,5829,1936
1995,2741,60,806,5770,1908
2001,2774,60,833,5703,1924
1986,2702,66,782,5751,1902
2037,2835,65,863,5780,1928
2057,2918,75,936,5751,1962
2006,2781,68,843,5742,1901
2044,2837,61,854,5826,1969
2064,2919,60,915,5770,1989
2065,2958,49,942,5728,1993
2073,2961,47,935,5768,2007
2083,2992,61,970,5747,2012
2041,2885,47,891,5702,1981
2019,2835,54,870,5706,1950
1984,2757,63,836,5657,1906
2041,2855,65,879,5796,1936
2020,2769,58,807,5822,1937
2057,2847,58,848,5883,1946
2048,2909,51,912,5716,1963
2038,2858,66,886,5750,1946
2095,3041,51,997,5731,2008
2054,2886,66,898,5783,1954
2012,2753,65,806,5810,1914
2052,2896,46,890,5736,1990
2070,2928,68,926,5796,1980
2056,2905,53,902,5742,1956
1956,2598,76,718,5807,1853
2034,2811,62,839,5806,1937
2030,2811,69,850,5780,1942
2077,2973,42,938,5732,2026
2071,2911,64,904,5799,1986
2030,2842,65,877,5733,1938
2058,2907,53,902,5767,1967
2029,2818,60,849,5746,1930
2051,2901,50,900,5748,1983
2006,2756,69,819,5783,1913
2015,2780,56,821,5765,1935
2064,2890,59,885,5821,1973
2011,2790,77,856,5759,1881
2085,3007,55,977,5740,2008
2011,2804,53,846,5740,1944
2046,2891,51,896,5716,1961
2013,2749,74,810,5803,1892
2052,2907,54,909,5696,1963
2090,2975,62,947,5787,2003
2015,2830,56,871,5687,1932
2049,2861,56,868,5792,1975
2056,2899,59,902,5776,1975
2058,2941,67,950,5732,1960
2040,2842,66,868,5806,1947
2042,2841,61,860,5799,1931
2110,3052,50,992,5767,2031
2035,2878,57,900,5710,1957
2064,2889,57,882,5804,1981
2016,2782,67,833,5770,1919
2095,3050,59,1014,5689,2009
2027,2861,63,897,5727,1949
2081,2966,58,943,5797,2016
2062,2923,50,911,5759,1980
2029,2866,59,896,5695,1944
2022,2855,54,887,5681,1960
2040,2875,64,899,5738,1935
2073,2921,66,914,5805,1984
2103,3047,46,990,5706,2039
2018,2790,69,841,5791,1942
2032,2854,57,879,5736,1966
2073,2917,57,901,5853,1978
2001,2762,67,828,5748,1870
2062,2912,57,907,5793,1972
2056,2950,64,958,5691,1967
2025,2813,57,845,5747,1952
2032,2804,75,847,5819,1936
2035,2892,48,905,5668,1976
2053,2916,56,919,5724,1972
2051,2938,56,943,5663,1975
2026,2781,62,817,5821,1948
1984,2728,66,810,5711,1887
2048,2846,65,863,5812,1967
2058,2897,54,893,5789,1989
1982,2698,90,806,5765,1843
2019,2757,57,795,5852,1924
2037,2828,50,841,5802,1974
2034,2812,58,836,5825,1928
2008,2786,71,849,5720,1868
2035,2836,53,854,5753,1962
2031,2815,65,849,5778,1939
2026,2813,60,847,5769,1947
2037,2871,56,890,5709,1968
2019,2779,63,823,5787,1907
2055,2885,70,900,5788,1945
2039,2840,81,882,5826,1913
2078,2952,40,914,5759,2013
2048,2882,65,899,5777,1957
2089,3016,65,992,5726,1996
2085,2943,58,916,5816,2008
1990,2696,55,761,5775,1917
2101,3099,35,1033,5630,2057
1990,2732,76,818,5753,1877
2016,2755,66,805,5807,1917
2025,2851,45,871,5673,1963
2027,2832,43,848,5719,1975
2063,2950,48,935,5673,1982
2010,2752,83,825,5828,1893
2064,2919,52,907,5751,1999
2037,2829,68,860,5821,1943
2015,2813,75,873,5694,1902
2025,2806,55,836,5765,1947
1969,2627,80,738,5798,1862
2060,2949,59,948,5708,1980
2047,2789,69,811,5933,1952
2076,2964,55,943,5773,2001
2058,2902,53,897,5760,1992
2086,3023,43,980,5711,2030
2032,2802,62,832,5828,1933
2034,2851,54,871,5755,1952
2081,3024,45,988,5640,2006
2036,2847,65,876,5761,1969
2024,2797,57,830,5801,1942
2056,2865,50,859,5844,1987
2034,2850,57,873,5756,1956
2006,2744,54,792,5797,1914
2088,2989,42,943,5760,2021
2045,2900,41,896,5696,1991
2038,2836,59,857,5755,1952
2058,2897,65,904,5786,1981
2049,2920,51,922,5708,1983
2041,2824,55,838,5803,1971
2077,2953,71,947,5784,1973
2018,2827,66,875,5703,1939
2037,2851,54,868,5739,1929
2064,2925,58,919,5753,1964
2011,2746,64,799,5805,1906
2065,2892,50,877,5818,1996
2028,2808,80,860,5811,1895
2050,2895,65,910,5743,1966
2037,2871,65,899,5753,1954
2105,3064,52,1011,5724,2040
2057,2894,55,892,5755,1979
2035,2835,58,858,5798,1946
2042,2862,55,875,5745,1962
2061,2903,56,898,5830,1981
2094,2993,40,939,5765,2049
1994,2715,64,785,5794,1910
2079,2959,64,944,5815,1992
2078,2952,58,932,5803,2000
1999,2704,81,786,5843,1898
2071,2933,43,905,5773,2010
2080,2940,39,899,5801,2031
2030,2835,55,860,5739,1950
2032,2843,51,862,5736,1971
2078,2977,50,949,5768,2010
2041,2865,69,893,5754,1933
2107,3045,44,982,5748,2056
2019,2789,60,830,5773,1914
2080,2950,51,921,5818,2009
2038,2822,44,828,5810,1984
2061,2914,59,912,5750,1982
2091,3008,60,977,5746,2018
2060,2911,58,909,5763,1980
2010,2821,54,865,5677,1923
2078,2929,49,900,5823,2008
2011,2793,67,849,5718,1902
2022,2891,59,928,5606,1933
2025,2851,57,883,5704,1951
2060,2970,46,956,5664,1986
2048,2886,52,890,5769,1982
2022,2823,53,854,5750,1934
2051,2902,53,904,5742,1971
2046,2868,63,885,5787,1938
2025,2831,49,855,5740,1954
2025,2820,59,854,5747,1951
2032,2849,46,863,5713,1966
2054,2892,60,898,5769,1969
2055,2921,47,913,5711,1983
2071,2925,63,917,5783,1976
2043,2837,56,850,5829,1936
2061,2913,46,898,5769,1975
2060,2938,56,934,5712,1961
2024,2842,59,877,5716,1925
2054,2896,57,899,5751,1974
2062,2893,70,901,5800,1943
2042,2841,65,864,5828,1959
2045,2855,50,860,5781,1976
2024,2874,56,906,5649,1947
2066,2941,61,936,5729,1976
2075,2944,56,925,5793,1989
2046,2856,56,866,5793,1969
2040,2844,58,862,5796,1964
2039,2855,58,874,5768,1951
2021,2764,59,802,5830,1937
2005,2783,56,834,5721,1927
2113,3100,43,1030,5705,2061
2089,2961,51,923,5836,2019
2038,2820,78,860,5833,1914
2022,2814,49,841,5750,1952
2062,2917,47,902,5774,1994
2095,3081,41,1027,5654,2028
1993,2789,50,846,5649,1926
2027,2836,57,866,5714,1951
2001,2766,47,812,5724,1895
2022,2793,55,826,5795,1950
2077,2978,72,973,5734,1990
2048,2895,62,909,5758,1944
2103,3071,63,1031,5707,2022
2047,2868,69,890,5767,1956
2063,2915,62,914,5802,1986
2051,2837,62,848,5869,1968
2024,2835,62,873,5761,1932
2050,2875,56,881,5749,1983
2063,2896,73,906,5825,1962
2069,2924,52,907,5790,1965
2047,2923,45,921,5647,1971
2025,2837,49,861,5740,1956
2032,2847,51,866,5725,1949
2109,3053,34,978,5761,2065
2045,2823,57,835,5841,1945
2045,2866,51,872,5791,1969
2050,2849,53,852,5816,1974
2046,2887,68,909,5720,1954
2068,2953,52,937,5713,1997
2077,2961,61,945,5743,1992
2078,2949,43,914,5794,2023
2004,2732,55,783,5806,1918
2031,2849,55,873,5730,1965
2054,2865,62,873,5822,1962
1962,2653,70,761,5732,1864
2038,2857,68,887,5762,1949
2041,2901,57,917,5676,1957
2044,2921,50,927,5653,1948
2060,2910,54,904,5783,1992
2069,2912,62,905,5843,1980
1946,2572,83,709,5806,1810
2037,2854,50,867,5766,1968
2056,2834,56,834,5878,1966
2039,2869,60,890,5742,1963
2061,2977,63,979,5644,1965
2107,3072,60,1025,5758,2015
2037,2788,61,812,5863,1955
2028,2808,63,843,5811,1938
2034,2826,63,855,5767,1953
2015,2756,61,802,5804,1927
2042,2889,51,898,5689,1973
2015,2781,56,822,5766,1928
2076,2929,59,912,5814,1981
2050,2882,48,880,5760,1976
2047,2876,57,886,5757,1961
2023,2749,66,792,5880,1923
2030,2855,61,886,5726,1914
1983,2714,83,814,5740,1844
2043,2864,55,876,5771,1964
2004,2725,62,783,5801,1907
2045,2878,65,898,5737,1953
2047,2906,61,920,5722,1954
2040,2835,61,856,5782,1959
2066,2952,44,930,5697,2011
2043,2840,61,858,5804,1956
2019,2784,63,828,5824,1904
2085,3013,39,967,5673,2028
2050,2873,52,875,5763,1982
2012,2797,61,846,5731,1933
2005,2799,69,863,5692,1913
2062,2994,53,985,5655,1996
2053,2925,52,924,5721,1958
2054,2827,64,837,5893,1961
2053,2918,50,915,5717,1998
2046,2933,50,937,5663,1974
2082,2977,59,954,5756,2007
2093,3004,55,966,5761,2008
2049,2903,52,906,5736,1974
2093,2988,57,952,5792,2025
2039,2840,69,870,5835,1950
2063,2880,56,873,5848,1974
2065,2942,54,931,5745,1977
2064,2958,43,937,5681,2003
2052,2889,55,892,5750,1975
2078,2922,57,901,5834,2003
1990,2700,67,777,5784,1896
2041,2867,66,892,5745,1960
2095,2996,42,943,5781,2043
2055,2872,50,867,5790,1979
2067,2895,83,911,5829,1958
2079,2992,49,962,5708,2010
2059,2921,54,916,5712,1992
2073,2994,47,968,5723,2015
2048,2872,73,897,5767,1949
2036,2828,59,851,5776,1963
2083,2989,53,959,5778,2017
2088,2968,57,937,5789,2009
2128,3120,52,1044,5728,2063
2061,2937,60,936,5739,1954
2066,2876,62,872,5858,1994
2035,2816,84,865,5826,1931
2048,2890,44,886,5766,1995
2036,2809,62,835,5830,1940
2070,2882,52,864,5844,1992
2005,2802,54,851,5681,1927
2058,2937,60,939,5698,1969
2041,2868,60,887,5749,1965
2039,2875,64,900,5739,1949
2028,2832,67,871,5768,1940
2002,2772,71,841,5735,1899
2112,3061,56,1005,5763,2038
2055,2881,50,876,5803,1978
2089,2972,47,930,5778,2038
1974,2703,68,797,5709,1858
1986,2746,65,825,5685,1915
2095,3028,57,990,5751,1990
2037,2874,74,911,5741,1930
2009,2731,66,788,5848,1912
2043,2867,82,906,5766,1923
2032,2799,63,830,5836,1939
2077,2941,59,923,5775,2001
2051,2896,62,907,5776,1961
2000,2783,56,839,5677,1926
2024,2848,75,899,5718,1913
2120,3044,50,974,5811,2054
2046,2905,54,913,5662,1965
2046,2874,48,876,5785,1977
2047,2818,75,846,5873,1930
2025,2800,56,831,5786,1930
2087,2997,44,954,5733,2005
1988,2745,77,834,5687,1880
2054,2902,52,900,5728,1984
2023,2803,54,834,5766,1935
2067,2904,57,894,5802,1982
1995,2762,75,842,5709,1886
2011,2831,65,885,5688,1924
2100,3063,53,1016,5702,2025
2058,2876,43,861,5827,1983
2083,2930,66,913,5861,1998
2003,2786,62,845,5709,1900
2088,2971,51,934,5794,1998
2052,2856,57,861,5827,1972
2098,3030,42,974,5750,2044
2100,3004,55,959,5823,2021
2055,2894,80,919,5812,1941
2061,2889,63,891,5803,1986
2079,2921,76,918,5855,1978
2095,3021,47,973,5768,2034
2042,2880,66,904,5738,1941
2028,2800,47,819,5800,1940
2016,2756,64,804,5838,1927
2079,2972,55,948,5743,2001
2000,2768,64,832,5713,1903
2086,3011,43,968,5741,2025
2067,2929,55,917,5761,1991
2031,2793,54,816,5833,1958
2057,2893,58,894,5765,1939
2057,2874,62,879,5792,1977
2067,2883,61,877,5850,1967
2085,3004,54,973,5705,2019
2034,2833,48,847,5793,1962
2040,2838,62,860,5826,1942
2017,2841,59,883,5662,1918
2058,2917,48,907,5754,1995
2069,2915,44,890,5808,2006
2006,2813,71,878,5684,1895
2042,2868,72,898,5737,1935
2081,2940,76,935,5841,1971
2074,2978,32,936,5710,2022
2004,2773,47,816,5715,1947
2054,2889,57,892,5754,1977
2076,2977,64,965,5731,1991
2037,2788,69,820,5867,1941
2050,2886,50,886,5762,1983
2073,2987,50,964,5694,1997
2115,3051,52,988,5788,2053
2052,2927,54,929,5678,1974
2067,2922,55,910,5776,1962
2019,2796,49,826,5767,1952
2048,2870,58,880,5753,1967
2040,2853,57,870,5768,1951
2063,2942,53,932,5706,1986
2077,2925,46,894,5813,1993
2047,2894,63,910,5737,1967
2008,2775,69,836,5753,1901
2074,2964,59,949,5758,1969
2107,3030,54,977,5797,2035
2025,2797,66,838,5796,1946
2055,2882,71,898,5770,1974
2061,2926,41,906,5717,1993
2052,2921,58,927,5700,1971
2070,2930,57,917,5793,1994
2062,2909,63,910,5783,1968
2062,2948,68,954,5690,1971
1993,2728,65,800,5764,1903
2071,2949,49,927,5740,1994
2112,3066,47,1001,5752,2053
2034,2824,64,854,5797,1954
2115,3090,44,1019,5718,2061
2054,2892,55,893,5782,1969
1997,2724,62,789,5767,1921
2013,2822,58,867,5694,1944
2064,2924,50,910,5751,1984
2059,2893,54,888,5791,1996
2078,2962,62,946,5782,1994
2034,2891,71,928,5681,1932
2060,2934,62,936,5711,1973
2049,2942,47,940,5626,1983
2017,2772,63,818,5779,1930
2054,2891,54,891,5805,1969
2054,2943,62,951,5703,1959
1998,2688,70,760,5879,1888
2002,2806,76,880,5675,1872
2030,2783,68,821,5845,1896
2043,2867,66,890,5759,1951
2008,2762,84,838,5801,1889
2034,2846,56,868,5722,1955
2023,2787,68,832,5801,1909
2077,2952,54,929,5758,2005
1994,2712,79,797,5780,1881
2025,2741,77,793,5888,1910
2064,2908,49,893,5780,2002
2055,2882,68,895,5790,1968
2029,2792,52,815,5818,1963
2050,2899,50,899,5735,1977
2116,3095,41,1020,5723,2060
2078,2935,49,906,5824,2007
2022,2832,63,873,5717,1944
2003,2749,82,828,5752,1889
2007,2784,54,831,5718,1939
2089,3036,60,1007,5681,2015
2043,2890,61,908,5700,1964
1962,2642,71,751,5744,1856
2036,2844,73,881,5762,1927
2037,2855,52,870,5741,1978
2014,2778,60,824,5756,1931
2096,3064,42,1010,5655,2031
2096,3040,49,993,5707,2021
2066,2876,68,878,5865,1975
2091,2999,54,962,5767,2004
2062,2840,64,842,5890,1975
1990,2702,63,775,5774,1880
2041,2806,63,828,5830,1942
2028,2780,79,831,5864,1919
2035,2847,71,883,5752,1937
2005,2800,67,862,5715,1905
2015,2803,70,858,5753,1917
2059,2940,49,930,5688,1994
2051,2922,66,937,5702,1951
2029,2785,64,820,5844,1952
2008,2782,60,834,5727,1914
2056,2922,58,924,5730,1979
2043,2882,63,902,5736,1941
2032,2867,62,897,5707,1936
2052,2911,67,926,5754,1964
2027,2786,68,827,5806,1914
2056,2852,59,855,5845,1970
2050,2840,57,847,5830,1963
2039,2895,47,903,5698,1975
2083,2978,42,937,5767,2033
1999,2732,78,811,5788,1890
2052,2895,49,892,5740,1988
2067,2932,48,913,5760,2014
2121,3127,42,1048,5689,2069
2056,2890,52,886,5776,1993
2007,2791,65,849,5729,1897
2070,2928,48,906,5800,2013
2095,3031,51,987,5728,2033
2026,2845,50,869,5704,1955
2086,2946,57,917,5803,2019
2049,2878,57,886,5750,1966
2012,2777,64,829,5770,1915
2018,2856,65,903,5686,1943
2019,2816,55,852,5694,1922
2090,3021,56,987,5720,2026
2003,2764,63,824,5761,1913
1973,2652,65,744,5766,1860
2084,2966,35,917,5776,2048
2080,2933,46,899,5783,2021
2052,2852,78,878,5846,1937
2036,2837,72,873,5794,1917
2052,2848,53,849,5833,1988
2033,2867,50,884,5707,1963
2126,3082,37,993,5771,2074
2059,2916,46,903,5737,1999
2049,2871,57,879,5774,1972
2072,2962,45,935,5715,2007
2042,2925,52,935,5629,1961
2081,2974,46,939,5772,2016
2034,2825,54,845,5777,1975
2039,2842,66,869,5811,1941
2063,2927,76,940,5794,1949
2034,2860,62,888,5707,1939
2022,2796,62,836,5778,1940
2085,2982,55,952,5770,2007
2058,2895,53,890,5768,1965
2020,2805,62,847,5740,1922
2067,2927,57,917,5778,1994
2095,3006,55,966,5784,2019
2007,2776,66,835,5711,1875
2121,3070,54,1003,5808,2042
2023,2771,60,808,5810,1938
2010,2773,55,818,5741,1932
1994,2727,62,795,5786,1909
2059,2920,44,905,5709,2008
2012,2768,61,817,5780,1921
2121,3053,44,976,5775,2068
2034,2818,58,842,5815,1955
2045,2827,61,843,5861,1952
2021,2821,68,868,5719,1918
2011,2780,69,838,5775,1907
2053,2882,68,897,5780,1948
2037,2808,64,835,5855,1944
2048,2877,42,871,5728,1991
2080,3010,59,989,5691,2009
2083,2970,55,942,5763,2022
2003,2766,68,831,5733,1883
2104,3014,45,955,5803,2055
2067,2963,53,949,5700,1993
2059,2938,46,925,5720,1993
2039,2824,57,842,5793,1975
2051,2887,64,900,5765,1957
2051,2862,54,865,5814,1972
2035,2844,77,886,5779,1911
2063,2916,73,926,5775,1962
2043,2877,53,887,5686,1969
2054,2925,43,914,5677,1976
2054,2873,50,869,5797,1970
2045,2925,54,934,5678,1975
2027,2791,76,840,5821,1913
2096,3012,48,964,5757,2032
2066,2904,60,898,5814,1989
2074,2951,51,928,5757,2012
2046,2873,46,873,5733,1990
2069,2930,47,908,5763,1995
2040,2851,57,868,5774,1933
2037,2825,60,848,5788,1944
2061,2914,55,908,5758,1975
2092,3038,45,991,5685,2026
1972,2678,60,766,5719,1887
2072,2957,50,935,5780,1999
2084,2985,45,946,5768,2003
2030,2753,59,782,5879,1946
2064,2967,67,970,5695,1968
2047,2876,53,882,5753,1986
2021,2845,59,883,5670,1937
2023,2803,46,826,5768,1945
2052,2870,64,882,5774,1973
2057,2913,55,911,5743,1958
2017,2786,55,824,5770,1929
2142,3109,39,1006,5817,2091
2063,2903,58,898,5790,1963
2067,2986,55,974,5651,1986
2077,2943,55,921,5792,1968
2085,2990,49,954,5792,2023
2073,2921,43,891,5799,2010
2045,2899,56,910,5683,1950
2067,2887,50,870,5807,2001
2042,2933,57,948,5665,1952
2054,2898,57,901,5754,1971
2110,3085,47,1022,5691,2058
2024,2823,58,857,5722,1945
2055,2896,58,899,5735,1965
2047,2897,65,915,5750,1953
2010,2844,52,886,5604,1924
2056,2854,54,852,5824,1979
2034,2787,64,817,5871,1933
2057,2895,59,897,5761,1969
1997,2781,60,844,5682,1909
2054,2895,55,896,5747,1976
2099,3031,37,969,5724,2052
2054,2897,52,895,5760,1978
2045,2865,73,893,5798,1949
1994,2747,68,821,5729,1871
2100,3026,47,973,5774,2037
2058,2942,54,938,5671,1971
2013,2789,60,836,5768,1937
2028,2791,73,836,5840,1894
1999,2764,68,833,5745,1896
2044,2880,64,900,5729,1961
2033,2885,59,911,5671,1941
2030,2849,51,870,5703,1958
2054,2874,49,869,5777,1994
2050,2923,50,923,5697,1966
2076,2938,64,926,5811,1988
2089,3003,49,963,5766,2006
2013,2809,66,862,5720,1927
2047,2892,64,909,5712,1966
2078,3009,59,990,5683,1998
2087,3026,48,987,5668,2015
2041,2880,61,900,5719,1954
2053,2859,61,867,5834,1978
2092,3029,56,993,5703,2024
2064,2897,66,899,5790,1982
1986,2742,68,824,5703,1894
2061,2902,61,902,5793,1989
2019,2807,70,858,5762,1911
2096,3030,42,976,5708,2000
2072,2934,63,925,5813,1989
2041,2841,50,850,5800,1964
1982,2735,60,813,5689,1894
2038,2833,64,859,5775,1967
2006,2709,71,774,5837,1914
2097,3048,51,1002,5684,2020
2042,2860,56,874,5714,1956
2049,2864,72,887,5809,1945
2108,3073,42,1007,5693,2032
2055,2905,63,913,5757,1947
2053,2855,58,860,5817,1985
2056,2909,40,893,5760,2003
2049,2892,65,908,5772,1962
2029,2816,71,858,5736,1933
2039,2840,54,855,5788,1965
2044,2853,71,880,5797,1951
2065,2874,48,857,5852,2006
2065,2904,58,897,5819,1976
2072,2946,44,918,5794,2014
1976,2681,64,769,5760,1879
2078,2975,62,959,5756,1989
2043,2892,49,898,5705,1978
2001,2755,68,822,5749,1897
2068,2914,56,902,5771,1992
1979,2671,74,766,5820,1885
2041,2828,58,845,5824,1964
2051,2897,51,897,5739,1983
2081,2972,43,934,5781,2036
2059,2929,46,916,5716,2000
2048,2918,59,929,5687,1938
2048,2882,54,888,5758,1975
2053,2905,60,912,5731,1977
2036,2871,68,903,5721,1928
2056,2976,42,962,5639,2006
2018,2807,66,855,5770,1923
2025,2813,57,845,5773,1930
2053,2944,53,944,5692,1984
2065,2876,62,873,5849,1963
2054,2905,69,920,5767,1963
2050,2898,61,909,5759,1952
2099,3019,43,963,5776,2039
2044,2839,55,850,5805,1959
2037,2851,63,877,5788,1955
2061,2945,48,932,5697,1996
2063,2928,57,922,5761,1977
2028,2849,63,884,5729,1922
2154,3182,43,1071,5719,2091
2045,2878,58,891,5750,1971
2046,2840,57,851,5786,1972
2044,2891,59,906,5741,1949
2063,2915,49,901,5785,1992
2041,2849,63,871,5765,1959
2034,2852,66,884,5710,1947
2020,2810,55,845,5768,1941
2006,2695,81,770,5915,1868
2070,2959,48,937,5731,2002
2080,2983,56,959,5739,1990
2063,2922,49,908,5754,2007
2070,2946,65,941,5791,1977
2052,2967,58,973,5624,1983
2064,2878,57,871,5822,1992
2064,2990,58,984,5639,2001
2020,2815,70,865,5755,1900
2067,2945,64,942,5740,1995
2126,3102,47,1023,5781,2070
2020,2833,58,871,5717,1941
2080,2960,51,931,5775,2017
2048,2857,64,873,5808,1949
2043,2797,60,814,5881,1955
2026,2823,71,868,5789,1913
2024,2780,69,825,5816,1928
2050,2864,66,880,5782,1956
2032,2835,57,860,5733,1945
2085,3005,45,965,5723,1991
2071,2973,57,959,5720,1975
2053,2830,63,840,5882,1980
2055,2931,65,941,5726,1976
2070,2911,69,910,5796,1962
2068,2960,57,949,5727,1974
2030,2812,64,846,5786,1932
2068,2891,51,874,5843,1987
2069,2921,61,913,5753,1987
2030,2836,61,867,5776,1937
2096,2983,42,929,5812,2041
2052,2946,58,952,5623,1981
2083,2931,57,905,5837,2006
2026,2804,60,838,5765,1933
2031,2841,48,858,5790,1957
2056,2855,66,865,5870,1950
2065,2927,64,926,5773,1960
2071,2941,56,926,5762,1973
2035,2869,63,897,5718,1927
2077,2965,48,936,5738,1986
2054,2872,53,871,5779,1985
2017,2776,59,818,5789,1917
2110,3051,48,989,5786,2032
2117,3021,52,956,5849,2046
2041,2887,58,904,5737,1951
2053,2871,57,875,5789,1972
2046,2851,57,862,5788,1970
2043,2883,57,897,5756,1966
2001,2753,53,805,5744,1935
2057,2908,53,904,5725,1995
2037,2854,62,879,5777,1944
2043,2877,61,895,5738,1953
2051,2858,64,871,5839,1949
2042,2834,68,860,5810,1928
2002,2757,72,827,5730,1908
2094,2948,55,909,5856,2026
2062,2895,54,887,5791,1997
2057,2931,58,932,5742,1975
2027,2814,63,850,5807,1917
2061,2943,48,930,5712,2000
2057,2866,53,862,5803,1992
2050,2851,56,857,5838,1952
2025,2872,40,887,5658,1965
2115,3132,48,1065,5633,2026
2057,2902,51,896,5753,1956
2056,2907,63,914,5763,1980
2086,3007,47,968,5737,2005
2060,2890,56,886,5799,1958
2083,2982,62,961,5745,2013
2018,2802,60,844,5753,1920
2036,2836,50,850,5763,1943
2092,2936,61,905,5876,1994
2068,2877,67,876,5882,1980
2047,2879,66,898,5768,1959
2034,2862,59,887,5741,1936
1992,2713,64,785,5768,1898
2100,3037,50,987,5728,2044
2066,2903,54,891,5796,2007
1998,2717,63,782,5759,1908
2051,2867,63,879,5780,1971
2048,2829,56,837,5855,1967
2088,2989,61,962,5782,1990
2062,2940,55,933,5729,1986
2044,2938,48,942,5616,1969
2003,2768,48,813,5715,1926
2034,2878,54,898,5689,1926
2114,3090,59,1035,5718,2037
2066,2922,54,910,5772,1990
2016,2767,67,818,5814,1934
2011,2749,71,809,5793,1910
1994,2740,63,809,5717,1902
2035,2846,72,883,5741,1925
2044,2837,74,867,5841,1921
2081,2959,47,925,5801,2009
2117,3025,51,959,5858,2045
2043,2864,51,872,5755,1981
2020,2787,66,833,5798,1940
2035,2905,48,918,5656,1965
1974,2692,54,772,5732,1886
2072,2977,43,948,5696,2015
2048,2856,67,875,5818,1928
2059,2872,55,868,5793,1978
2105,3025,50,970,5785,2036
2048,2915,60,927,5708,1974
1996,2769,55,828,5682,1915
2037,2825,52,840,5796,1974
2022,2748,65,791,5833,1943
2006,2720,67,781,5846,1909
2066,2961,49,944,5707,2002
2019,2830,60,871,5704,1920
2068,2918,59,909,5794,1977
2039,2871,48,880,5711,1980
2033,2862,50,879,5711,1971
2028,2880,48,900,5640,1957
1984,2706,80,802,5764,1865
2048,2887,56,895,5749,1970
2040,2829,56,845,5816,1961
2080,2959,61,940,5800,1990
2063,2894,68,899,5812,1966
2076,2952,51,927,5780,2006
2032,2868,50,886,5691,1953
2005,2780,59,834,5737,1927
2048,2865,55,872,5802,1978
2077,2963,62,948,5772,2000
2089,2996,52,959,5763,2019
2039,2817,51,829,5804,1964
2167,3272,37,1142,5643,2117
2039,2847,72,880,5802,1909
2001,2717,78,794,5841,1867
2004,2788,60,844,5716,1917
2060,2889,61,890,5812,1987
2065,2930,57,922,5731,1994
2002,2763,53,814,5724,1921
2033,2842,61,870,5766,1953
2076,2962,53,939,5773,2012
2061,2943,51,933,5696,1986
1957,2600,82,725,5833,1842
2070,2918,53,901,5832,2000
2049,2836,53,840,5844,1972
2050,2878,72,900,5795,1926
2114,3129,32,1047,5657,2062
2096,3006,41,951,5792,2028
2099,2958,54,913,5892,2021
2021,2831,59,869,5724,1943
1994,2768,58,832,5686,1920
2048,2875,58,885,5766,1954
2023,2824,50,851,5744,1949
1976,2722,60,806,5682,1903
2069,2980,54,965,5671,1992
2058,2917,54,913,5750,1989
2128,3142,39,1053,5658,2068
2030,2814,63,847,5805,1951
2025,2822,44,841,5726,1954
2071,2931,48,908,5789,2008
2040,2950,53,963,5603,1965
1998,2761,64,827,5721,1893
2061,2923,52,914,5757,1987
2081,3002,39,960,5690,2015
2049,2912,60,923,5706,1940
1983,2673,79,769,5798,1875
1994,2746,65,817,5713,1900
2055,2949,49,943,5682,1972
1991,2700,83,792,5810,1859
2066,2927,54,915,5751,2002
2018,2810,60,852,5708,1916
2037,2821,70,854,5828,1928
2071,2937,47,913,5769,2009
2029,2888,54,913,5665,1951
2069,2950,62,943,5734,1950
2011,2831,62,882,5660,1922
2036,2867,69,900,5723,1935
2070,2942,57,929,5758,1995
2043,2841,60,858,5812,1950
2098,3061,55,1018,5667,2026
2027,2819,73,865,5767,1908
1992,2730,79,817,5739,1864
2061,2895,61,895,5786,1981
2001,2781,59,839,5708,1909
2056,2852,70,866,5847,1963
2030,2763,75,808,5899,1912
2054,2885,61,892,5782,1978
2057,2914,47,904,5751,2002
2018,2740,72,794,5882,1918
1992,2792,62,862,5626,1879
2119,3070,50,1001,5787,2056
2073,2920,68,915,5821,1963
