V,E,C,genus,B,largest
2131,3146,46,1061,5716,2072
2012,2799,54,841,5709,1943
2053,2895,57,899,5764,1969
2057,2883,60,886,5759,1966
2102,2981,59,938,5874,1997
2118,3085,59,1026,5766,2020
2050,2886,51,887,5767,1979
2029,2835,58,864,5740,1959
2003,2740,61,798,5786,1920
2052,2865,66,879,5824,1956
2062,3012,50,1000,5606,1983
2020,2838,67,885,5704,1928
2064,2939,47,922,5737,2013
2117,3047,48,978,5835,2057
2039,2836,62,859,5811,1950
2085,2976,56,947,5813,2004
2090,3031,63,1004,5727,1988
2010,2760,67,817,5775,1895
1970,2704,56,790,5676,1888
2092,2983,55,946,5815,2010
2080,2937,67,924,5815,1993
2062,2920,58,916,5781,1944
2082,2920,63,901,5848,2000
2024,2834,73,883,5755,1905
2032,2846,49,863,5720,1954
2013,2748,62,797,5838,1937
2102,3014,42,954,5749,2046
2043,2852,57,866,5787,1953
2061,2929,41,909,5711,2009
2023,2848,41,866,5675,1974
1998,2771,59,832,5709,1906
2037,2841,61,865,5786,1940
2065,2975,50,960,5683,2007
1998,2734,62,798,5794,1923
2059,2931,61,933,5727,1969
2026,2830,51,855,5745,1953
2034,2834,51,851,5763,1963
2033,2816,50,833,5771,1976
2053,2877,62,886,5771,1972
2034,2874,59,899,5747,1938
2021,2875,68,922,5662,1933
2072,2952,48,928,5788,1990
2011,2741,69,799,5816,1911
2113,3032,61,980,5827,2028
2041,2859,64,882,5750,1938
2054,2900,52,898,5745,1987
2053,2878,42,867,5792,1996
2041,2864,71,894,5774,1951
2049,2888,49,888,5752,1977
2011,2827,68,884,5697,1917
2034,2837,54,857,5768,1948
2021,2811,62,852,5760,1939
2028,2829,67,868,5755,1921
2044,2838,61,855,5808,1943
2001,2772,54,825,5709,1926
2078,2913,81,916,5844,1982
2077,2925,61,909,5797,1986
2036,2861,69,894,5752,1948
2063,2922,58,917,5761,1959
2074,2939,39,904,5787,2005
2021,2807,65,851,5749,1900
1995,2717,80,802,5785,1882
2045,2855,57,867,5773,1957
2035,2789,62,816,5865,1934
2063,2932,56,925,5771,1992
2066,2942,54,930,5761,2004
2077,2981,45,949,5735,1996
2057,2944,68,955,5693,1963
2078,2920,59,901,5845,2010
2068,2962,60,954,5714,1990
2053,2917,53,917,5720,1985
1950,2608,65,723,5753,1861
2033,2861,51,879,5706,1956
2110,3051,54,995,5759,2038
2041,2857,56,872,5743,1959
2072,2936,62,926,5784,1972
2042,2888,56,902,5705,1964
2034,2933,58,957,5575,1948
2076,2975,34,933,5706,2035
2102,2998,54,950,5841,2015
2059,2908,55,904,5765,1981
2091,2972,57,938,5838,2011
2072,2993,59,980,5706,1990
2053,2880,49,876,5769,1996
2098,3047,48,997,5704,2030
2024,2845,59,880,5703,1933
2062,2930,55,923,5730,1993
2032,2826,57,851,5737,1956
2060,2931,51,922,5708,1979
2086,2969,47,930,5814,2014
2046,2860,57,871,5812,1966
1970,2617,62,709,5831,1872
2070,2927,65,922,5789,1981
2058,2909,57,908,5765,1976
2055,2958,55,958,5665,1975
2065,2949,69,953,5732,1979
2060,2946,68,954,5707,1967
2050,2873,63,886,5821,1938
2085,2992,62,969,5744,1992
2014,2837,46,869,5669,1947
2052,2912,53,913,5700,1977
1976,2650,69,743,5831,1869
2078,3018,47,987,5670,2010
2065,2931,51,917,5776,1978
2057,2922,53,918,5747,1985
