V,E,B,lb
2061,2931,5726,871
2041,2871,5761,831
2100,3023,5753,924
2061,2905,5761,845
2052,2920,5696,869
2027,2826,5753,800
2102,3034,5757,933
2021,2758,5861,738
2070,2910,5785,841
2110,3065,5712,956
1991,2724,5764,734
2035,2844,5763,810
2057,2896,5754,840
2060,2915,5754,856
2017,2799,5743,783
2034,2823,5767,790
2060,2889,5864,830
2005,2733,5803,729
2081,2940,5847,860
1999,2759,5755,761
2020,2799,5772,780
1997,2726,5742,730
2065,2921,5774,857
2039,2827,5801,789
2010,2788,5733,779
2040,2854,5791,815
2029,2815,5776,787
2062,2914,5771,853
2039,2898,5677,860
2045,2843,5813,799
2058,2905,5771,848
2040,2875,5751,836
2079,2968,5734,890
2051,2917,5681,867
2129,3100,5802,972
1984,2723,5734,740
1996,2773,5685,778
2111,3049,5781,939
2074,2934,5822,861
2073,2960,5733,888
2025,2805,5766,781
2092,3024,5734,933
2036,2875,5700,840
2055,2903,5739,849
2050,2896,5745,847
2051,2880,5752,830
2065,2984,5670,920
1993,2685,5844,693
2031,2838,5772,808
2036,2816,5813,781
2052,2842,5823,791
2033,2857,5719,825
2022,2815,5771,794
2040,2863,5754,824
1955,2608,5777,654
2075,2991,5677,917
2063,2901,5828,839
2068,2923,5775,856
2080,2932,5885,853
2047,2861,5765,815
2038,2839,5817,802
2018,2760,5845,743
2025,2817,5741,793
2055,2870,5806,816
2080,3018,5692,939
2043,2858,5776,816
1985,2660,5843,676
1989,2676,5825,688
2046,2848,5792,803
2047,2859,5796,813
2003,2726,5839,724
2040,2821,5824,782
2029,2859,5697,831
2086,2992,5729,907
2081,3016,5664,936
2034,2861,5726,828
2044,2920,5655,877
2053,2899,5737,847
2023,2821,5728,799
2068,2944,5758,877
2012,2748,5832,737
2051,2895,5739,845
1997,2751,5750,755
1951,2609,5756,659
2085,2979,5777,895
1989,2679,5833,691
2059,2867,5833,809
2070,2922,5789,853
2027,2880,5643,854
2068,2900,5858,833
2031,2849,5736,819
2082,3013,5681,932
2010,2755,5799,746
2067,2900,5803,834
2013,2704,5897,692
2068,2950,5737,883
2070,2940,5750,871
2026,2836,5723,811
2100,3019,5734,920
2029,2829,5764,801
2058,2916,5750,859
2057,2894,5766,838
2061,2885,5801,825
2047,2885,5745,839
2067,2936,5753,870
2007,2754,5779,748
2067,2958,5714,892
2049,2872,5765,824
2001,2777,5714,777
1989,2727,5762,739
1995,2716,5786,722
2069,2946,5758,878
2047,2863,5748,817
1992,2739,5705,748
2038,2861,5745,824
2078,2996,5717,919
2026,2849,5684,824
2112,3019,5791,908
2009,2816,5678,808
2028,2829,5774,802
1998,2724,5764,727
2066,2927,5732,862
2031,2866,5698,836
2111,3078,5711,968
2062,2853,5896,792
2079,2979,5753,901
2049,2840,5844,792
2028,2813,5776,786
2030,2834,5752,805
2096,3008,5753,913
2041,2798,5882,758
2133,3117,5784,985
2029,2846,5722,818
2058,2894,5782,837
2044,2903,5707,860
2041,2903,5681,863
2086,2972,5793,887
2033,2843,5783,811
2019,2813,5766,795
2021,2778,5813,758
2071,2943,5766,873
1994,2700,5828,707
2058,2929,5730,872
2042,2906,5672,865
2077,2953,5807,877
2059,2928,5732,870
2027,2829,5732,803
2057,2914,5750,858
2043,2922,5693,880
2095,2995,5795,901
2044,2842,5836,799
2008,2794,5708,787
2016,2776,5787,761
2024,2807,5796,784
2020,2826,5736,807
1985,2651,5866,667
2065,2992,5644,928
2009,2776,5712,768
2121,3059,5790,939
2066,2935,5760,870
2077,2933,5786,857
2063,2957,5687,895
2061,2922,5741,862
2048,2877,5771,830
2091,2999,5778,909
2018,2803,5755,786
2057,2953,5651,897
2102,3071,5706,970
2076,3010,5649,935
2049,2873,5777,825
2040,2856,5753,817
2052,2887,5767,836
2060,2928,5744,869
2105,3017,5773,913
2078,2990,5716,913
2017,2802,5744,786
2039,2834,5836,796
2071,2967,5745,897
2058,2889,5795,832
2023,2872,5646,850
2017,2836,5700,820
2063,2945,5716,883
2042,2877,5738,836
2010,2803,5720,794
2055,2922,5746,868
2086,2981,5782,896
2096,3058,5663,963
2041,2840,5832,800
2093,3043,5668,951
2024,2825,5733,802
1989,2673,5796,685
2108,3019,5813,912
1915,2528,5736,614
2020,2811,5750,792
2074,3050,5626,977
2003,2760,5739,758
2031,2845,5755,815
2045,2906,5719,862
1989,2739,5710,751
2070,2943,5772,874
2048,2914,5683,867
2084,3004,5729,921
2065,2919,5722,855
2078,2964,5781,887
2115,3079,5758,965
2052,2874,5798,823
2040,2802,5864,763
2107,3025,5804,919
2076,2918,5826,843
2067,2949,5706,883
2043,2868,5769,826
2042,2847,5821,806
2060,2906,5782,847
2078,2994,5712,917
2040,2851,5794,812
2048,2850,5872,803
2033,2826,5782,794
1986,2692,5805,707
2062,2948,5698,887
2080,2932,5842,853
2018,2854,5677,837
2023,2819,5744,797
2056,2851,5858,796
2075,2967,5750,893
2077,2959,5767,883
2048,2898,5706,851
2027,2834,5706,808
2068,2961,5705,894
2087,2966,5816,880
2083,2994,5725,912
2055,2869,5801,815
2025,2842,5706,818
2062,2984,5635,923
2068,2913,5814,846
2056,2913,5742,858
2064,2941,5764,878
2048,2913,5708,866
2105,3035,5775,931
2075,2974,5701,900
2034,2866,5709,833
2050,2858,5798,809
2014,2773,5792,760
2030,2840,5743,811
2088,3003,5761,916
2045,2895,5733,851
2122,3066,5805,945
2025,2808,5804,784
2009,2794,5731,786
2047,2888,5734,842
2083,2951,5801,869
2034,2828,5766,795
2032,2839,5747,808
2056,2914,5758,859
2064,2903,5776,840
2000,2755,5744,756
2065,2927,5782,863
2012,2786,5775,775
2020,2840,5707,821
