V,E,B,lb
2090,3012,5724,923
2063,2866,5860,804
2069,2940,5739,872
2005,2773,5752,769
2090,3003,5736,914
2087,3009,5719,923
2079,3008,5695,930
2048,2921,5715,874
2053,2847,5843,795
2100,3035,5760,936
1980,2692,5742,713
2058,2909,5759,852
2080,2935,5830,856
2067,2938,5742,872
2066,2901,5816,836
1986,2677,5795,692
2054,2910,5758,857
2042,2845,5769,804
2010,2809,5673,800
2051,2884,5751,834
2089,2974,5778,886
2053,2886,5742,834
2049,2910,5683,862
2011,2765,5785,755
2015,2781,5785,767
2068,2957,5693,890
2048,2852,5802,805
2005,2765,5742,761
2042,2867,5779,826
2031,2895,5665,865
2062,2902,5761,841
2028,2821,5778,794
2024,2830,5733,807
2051,2902,5729,852
2083,3014,5696,932
2076,2981,5762,906
2034,2819,5798,786
2022,2795,5795,774
2056,2902,5794,847
2046,2902,5719,857
2077,2907,5860,831
2072,2942,5791,871
2061,2942,5715,882
2031,2875,5656,845
2042,2862,5787,821
2065,2930,5784,866
2085,2955,5815,871
2065,2909,5819,845
2023,2773,5810,751
2049,2900,5751,852
2064,2947,5708,884
2043,2854,5794,812
1962,2667,5712,706
2112,3075,5755,964
2083,2954,5845,872
2067,2944,5775,878
2025,2864,5670,840
2036,2819,5830,784
2055,2927,5726,873
2048,2909,5695,862
2026,2812,5795,787
2082,2958,5777,877
2000,2735,5755,736
2073,2967,5751,895
2021,2839,5678,819
2081,2939,5820,859
2055,2879,5798,825
2044,2809,5899,766
2078,2979,5712,902
2049,2906,5738,858
2053,2934,5678,882
2015,2771,5800,757
2067,2910,5819,844
2042,2838,5794,797
2065,2857,5891,793
2069,2915,5822,847
2041,2839,5811,799
2108,3054,5756,947
1957,2676,5645,720
2054,2896,5767,843
2056,2924,5719,869
2035,2836,5802,802
2063,2923,5746,861
2037,2857,5761,821
2029,2866,5675,838
1977,2625,5866,649
2065,2878,5859,814
2083,3085,5586,1003
2056,2912,5755,857
2084,2961,5817,878
2064,2959,5687,896
2015,2796,5730,782
2028,2838,5747,811
2063,2880,5865,818
2082,2959,5767,878
1992,2727,5760,736
2069,2931,5778,863
2057,2925,5695,869
2069,2947,5722,879
2020,2803,5755,784
2088,2989,5763,902
2018,2817,5696,800
2051,2921,5706,871
2071,2888,5846,818
2022,2820,5740,799
2080,2959,5803,880
2060,2890,5832,831
2075,2941,5815,867
2028,2832,5748,805
2108,3034,5778,927
2049,2885,5734,837
2079,2962,5778,884
2012,2808,5701,797
2069,2936,5733,868
2059,2896,5798,838
2089,2975,5764,887
2064,2907,5824,844
2054,2920,5715,867
2055,2853,5843,799
2025,2843,5680,819
2117,3020,5835,904
2039,2813,5845,775
2037,2901,5667,865
2088,2985,5782,898
2048,2883,5740,836
1943,2577,5774,635
1978,2679,5776,702
2024,2799,5760,776
2027,2800,5798,774
2088,2957,5838,870
2071,2953,5748,883
2067,2915,5778,849
2038,2871,5732,834
2088,3002,5752,915
2035,2847,5756,813
2029,2786,5834,758
2044,2903,5698,860
2039,2829,5850,791
2057,2939,5699,883
2045,2837,5832,793
2044,2855,5799,812
2027,2849,5711,823
2048,2867,5779,820
2048,2903,5697,856
2051,2882,5788,832
2073,2963,5752,891
2074,2921,5790,848
2049,2878,5731,830
2073,2975,5710,903
2031,2815,5760,785
2055,2935,5719,881
2078,2970,5724,893
2011,2751,5782,741
1984,2716,5708,733
2065,2930,5739,866
2036,2827,5801,792
2114,3063,5766,950
2009,2797,5728,789
2081,2989,5728,909
2050,2893,5730,844
2006,2767,5736,762
2054,2948,5675,895
2095,2954,5864,860
2019,2759,5852,741
2070,2903,5810,834
2101,3041,5733,941
2048,2809,5914,762
2034,2807,5834,774
2087,2968,5803,882
2008,2737,5806,730
1970,2659,5791,690
2045,2884,5736,840
2025,2800,5797,776
2014,2813,5690,800
2056,2864,5810,809
2034,2831,5768,798
2064,2929,5760,866
2033,2800,5837,768
2095,2996,5786,902
2078,2957,5774,880
2042,2832,5824,791
2060,2914,5741,855
2046,2900,5724,855
2073,2987,5689,915
1985,2664,5807,680
2029,2842,5726,814
2006,2814,5687,809
2022,2769,5795,748
2019,2791,5756,773
2019,2758,5827,740
2051,2860,5809,810
2056,2907,5728,852
2032,2824,5785,793
2019,2780,5830,762
2039,2833,5788,795
2059,2947,5669,889
2017,2839,5677,823
2056,2914,5738,859
1999,2732,5786,734
2055,2853,5865,799
2015,2756,5804,742
1989,2748,5688,760
1998,2789,5668,792
2068,2952,5714,885
2032,2840,5748,809
2035,2827,5778,793
2025,2809,5768,785
2001,2766,5726,766
2076,2955,5757,880
2078,2934,5840,857
2000,2718,5809,719
2031,2793,5830,763
2061,2855,5898,795
2081,2999,5715,919
2014,2749,5815,736
2079,2972,5742,894
2013,2782,5771,770
2102,3064,5693,963
2033,2803,5828,771
2091,3010,5741,920
2039,2856,5751,818
1974,2704,5662,731
2030,2789,5824,760
2057,2864,5832,808
2043,2819,5850,777
2057,2945,5693,889
2024,2857,5692,834
2070,2920,5771,851
2021,2804,5782,784
2082,3047,5643,966
2068,2927,5779,860
2041,2817,5848,777
2087,2985,5781,899
2039,2866,5740,828
2011,2798,5660,788
2026,2822,5776,797
1989,2732,5690,744
2064,2882,5830,819
2029,2853,5704,825
2033,2853,5720,821
2130,3147,5663,1018
2047,2842,5838,796
2022,2786,5765,765
2075,2933,5792,859
2088,3014,5733,927
2076,2895,5872,820
2026,2830,5759,805
2076,2986,5716,911
2096,2999,5797,904
2034,2815,5776,782
2039,2847,5737,809
2075,2931,5811,857
2043,2805,5844,763
2091,2999,5748,909
2060,2906,5765,847
2070,2986,5654,917
2057,2917,5722,861
2073,2983,5723,911
2014,2756,5804,743
2023,2828,5691,806
2047,2841,5822,795
2026,2826,5749,801
2020,2839,5684,820
2038,2853,5729,816
2032,2842,5748,811
2013,2761,5792,749
2044,2859,5787,816
2018,2831,5708,814
2094,2966,5843,873
2031,2839,5727,809
2018,2854,5645,837
2063,2929,5751,867
2056,2923,5720,868
2039,2817,5830,779
2105,3080,5704,976
2053,2884,5781,832
2072,2919,5811,848
1999,2757,5748,759
2029,2857,5685,829
2054,2928,5700,875
2069,2877,5884,809
2057,2906,5758,850
2025,2828,5730,804
2049,2801,5913,753
2030,2802,5811,773
2042,2859,5768,818
2097,3039,5708,943
2090,2974,5793,885
1995,2717,5804,723
2013,2803,5721,791
2070,2952,5736,883
2079,2947,5820,869
2044,2917,5701,874
2086,2987,5762,902
2011,2834,5683,824
2048,2876,5773,829
2046,2901,5715,856
2083,2950,5778,868
2047,2847,5785,801
2066,2875,5850,810
2088,2955,5842,868
2069,2930,5805,862
2094,3039,5692,946
2012,2711,5886,700
2055,2888,5798,834
2097,3011,5763,915
2071,2980,5693,910
2043,2833,5832,791
2064,2956,5713,893
2054,2881,5773,828
2092,3016,5735,925
2055,2910,5744,856
2002,2753,5749,752
2066,2906,5836,841
2004,2788,5693,785
2072,3018,5663,947
2027,2849,5695,823
2039,2852,5781,814
2068,2941,5791,874
2070,2926,5777,857
2060,2913,5777,854
2047,2911,5693,865
2028,2840,5731,813
2012,2786,5727,775
2041,2845,5804,805
1995,2776,5679,782
2032,2847,5726,816
2072,2941,5795,870
2084,3027,5710,944
2010,2798,5710,789
2024,2841,5728,818
2037,2858,5725,822
2035,2869,5722,835
2089,2991,5770,903
2039,2842,5804,804
2055,2877,5822,823
2037,2910,5655,874
2070,2940,5785,871
2059,2957,5666,899
2091,3012,5717,922
2075,2962,5753,888
2018,2818,5711,801
2022,2803,5762,782
2060,2923,5749,864
2034,2860,5720,827
2028,2826,5714,799
2008,2779,5793,772
2036,2812,5830,777
2044,2858,5794,815
2018,2809,5728,792
1965,2620,5810,656
2044,2893,5746,850
1992,2696,5801,705
2102,2960,5891,859
2070,2929,5764,860
2078,2941,5787,864
2020,2780,5821,761
2043,2871,5731,829
2059,2912,5763,854
2030,2812,5807,783
2030,2849,5718,820
2087,2948,5826,862
2074,2951,5761,878
1994,2692,5813,699
2044,2900,5711,857
2028,2781,5817,754
2069,2950,5708,882
2047,2860,5786,814
2085,2943,5812,859
2032,2837,5748,806
2042,2837,5841,796
1990,2708,5779,719
2047,2852,5796,806
2022,2750,5889,729
2025,2850,5694,826
2025,2801,5801,777
2107,3062,5736,956
2036,2845,5775,810
2009,2777,5748,769
2035,2852,5732,818
2023,2764,5859,742
2054,2924,5702,871
2024,2856,5689,833
2004,2741,5794,738
2081,2993,5712,913
2047,2845,5852,799
2049,2901,5731,853
2069,2921,5798,853
2069,2947,5756,879
2034,2830,5750,797
2021,2789,5805,769
2077,2918,5829,842
2113,3108,5641,996
2025,2827,5734,803
2024,2829,5748,806
2067,2959,5706,893
2058,2877,5803,820
2046,2884,5761,839
2032,2903,5630,872
2012,2829,5699,818
2059,2923,5764,865
2102,3106,5640,1005
2023,2783,5799,761
2021,2786,5784,766
2052,2902,5759,851
2065,2975,5672,911
2057,2929,5701,873
2042,2852,5740,811
2069,2919,5797,851
2016,2791,5749,776
2061,2935,5723,875
2051,2825,5874,775
2103,3006,5790,904
2066,2913,5783,848
2062,2940,5703,879
2025,2828,5741,804
2099,3014,5805,916
2011,2747,5802,737
2079,3004,5691,926
2092,3017,5723,926
1989,2710,5773,722
2052,2902,5764,851
2064,2937,5745,874
2015,2769,5807,755
2033,2815,5810,783
1995,2763,5701,769
2061,2944,5703,884
2032,2837,5741,806
2041,2845,5775,805
2083,2938,5828,856
2095,3041,5743,947
2003,2710,5831,708
2087,2943,5865,857
2098,3000,5794,903
2109,3048,5737,940
2044,2849,5789,806
2028,2872,5693,845
2062,2929,5729,868
2103,3044,5753,942
2075,2959,5729,885
2045,2863,5758,819
2092,3014,5762,923
2028,2820,5786,793
2049,2900,5721,852
2056,2877,5838,822
2089,2983,5780,895
2060,2892,5808,833
2066,2917,5802,852
2081,2986,5756,906
2069,2890,5849,822
2022,2862,5684,841
2058,2858,5864,801
2052,2887,5771,836
2077,2938,5797,862
2018,2771,5793,754
2104,3030,5755,927
2043,2884,5744,842
2010,2787,5721,778
2004,2750,5753,747
2030,2829,5727,800
2064,2904,5768,841
2029,2853,5679,825
2046,2852,5816,807
2117,3107,5670,991
2046,2898,5709,853
2041,2858,5753,818
2081,2989,5735,909
2050,2941,5693,892
2100,3019,5775,920
2095,3027,5738,933
2085,2978,5770,894
2037,2828,5783,792
2077,2974,5756,898
2075,2923,5838,849
2067,2909,5795,843
2052,2887,5781,836
2061,2914,5758,854
2059,2943,5751,885
2037,2850,5752,814
2053,2915,5708,863
1995,2725,5768,731
2097,3021,5759,925
1989,2683,5812,695
1988,2673,5819,686
2058,2892,5770,835
2100,3014,5770,915
2087,2983,5770,897
2010,2768,5789,759
2048,2872,5736,825
2087,3008,5719,922
2072,2852,5932,781
1989,2728,5757,740
2011,2807,5695,797
2067,2950,5719,884
2072,2926,5788,855
2092,3017,5711,926
2052,2875,5795,824
2027,2756,5867,730
2070,2947,5762,878
2070,2926,5786,857
2041,2848,5807,808
2025,2812,5761,788
2032,2861,5735,830
2069,2948,5749,880
1968,2659,5758,692
2056,2930,5700,875
2041,2902,5667,862
2049,2876,5785,828
1969,2662,5749,694
2055,2896,5748,842
2036,2859,5733,824
2001,2717,5850,717
2037,2872,5721,836
2053,2833,5894,781
2043,2834,5828,792
1949,2609,5772,661
2042,2843,5785,802
2056,2940,5736,885
2033,2830,5763,798
2064,2925,5767,862
2037,2835,5797,799
2025,2817,5768,793
2006,2748,5809,743
2012,2787,5736,776
2072,2904,5841,833
2090,2985,5817,896
2029,2839,5721,811
2047,2827,5825,781
2030,2845,5725,816
2030,2829,5742,800
2084,2969,5790,886
2081,2937,5825,857
2066,2950,5717,885
2038,2858,5764,821
2095,2950,5872,856
2142,3145,5729,1004
1999,2730,5752,732
2038,2856,5764,819
2040,2910,5668,871
2064,2924,5759,861
2056,2903,5781,848
2003,2762,5776,760
2070,2961,5740,892
2041,2795,5854,755
2051,2877,5804,827
2082,2962,5802,881
2073,2962,5753,890
1981,2688,5744,708
2051,2899,5739,849
2047,2878,5757,832
2014,2828,5661,815
2102,3050,5738,949
2057,2969,5638,913
2038,2861,5704,824
2033,2799,5835,767
2064,2964,5687,901
2059,2908,5772,850
2044,2931,5632,888
2079,2978,5732,900
2042,2894,5707,853
2033,2886,5668,854
2064,2918,5796,855
2066,2902,5833,837
2116,3064,5752,949
2099,3009,5776,911
2045,2877,5766,833
2019,2805,5776,787
2049,2880,5757,832
1993,2733,5730,741
2009,2767,5767,759
2056,2915,5747,860
2071,2919,5805,849
2108,3069,5761,962
2064,2937,5749,874
2067,2926,5758,860
2035,2862,5742,828
2027,2806,5777,780
2099,2957,5872,859
2038,2848,5774,811
2032,2887,5671,856
2004,2809,5632,806
2045,2855,5754,811
2046,2899,5737,854
2060,2928,5725,869
2056,2822,5908,767
2058,2882,5767,825
2054,2855,5832,802
2043,2849,5784,807
2030,2862,5703,833
2056,2927,5701,872
2110,3067,5750,958
1993,2722,5785,730
2048,2871,5789,824
2068,2898,5833,831
1997,2723,5800,727
2071,2895,5872,825
2058,2939,5684,882
2059,2975,5660,917
1994,2708,5833,715
2014,2822,5677,809
2122,3076,5787,955
2029,2794,5854,766
2049,2923,5678,875
2003,2761,5734,759
2054,2933,5682,880
2050,2930,5715,881
2067,2909,5786,843
2071,2926,5802,856
2079,2900,5865,822
2012,2785,5757,774
2048,2909,5737,862
2079,2972,5758,894
2006,2726,5825,721
2030,2802,5829,773
2068,2946,5748,879
2066,2916,5767,851
2024,2844,5719,821
2086,2973,5791,888
2043,2834,5843,792
2025,2867,5675,843
2021,2835,5686,815
2022,2813,5745,792
2060,2942,5707,883
2027,2837,5735,811
2054,2924,5716,871
2074,2942,5781,869
2035,2828,5794,794
2043,2842,5761,800
2039,2854,5757,816
2075,3017,5618,943
2044,2833,5801,790
2072,2936,5778,865
1998,2761,5724,764
2095,3008,5773,914
2043,2918,5706,876
2037,2775,5880,739
2072,2992,5694,921
1978,2688,5780,711
2053,2902,5767,850
2054,2892,5794,839
2048,2888,5744,841
2066,2956,5730,891
2084,3012,5694,929
2067,2912,5768,846
2082,2996,5730,915
2022,2826,5708,805
2053,2896,5759,844
1995,2707,5815,713
1991,2687,5800,697
2044,2896,5717,853
2017,2795,5757,779
1990,2706,5766,717
2049,2906,5740,858
2020,2818,5736,799
2003,2739,5768,737
2014,2830,5638,817
2043,2905,5678,863
2032,2860,5709,829
2070,2922,5785,853
2026,2811,5755,786
2026,2805,5784,780
2086,2951,5814,866
2051,2856,5795,806
2019,2847,5678,829
2023,2827,5744,805
2052,2901,5722,850
1997,2689,5839,693
2093,3022,5726,930
2037,2848,5763,812
2019,2749,5836,731
2088,2975,5795,888
2029,2787,5802,759
2050,2908,5729,859
2051,2879,5754,829
2041,2813,5860,773
2052,2986,5598,935
2035,2852,5740,818
2082,2965,5768,884
2040,2895,5678,856
2018,2771,5802,754
2016,2739,5864,724
2092,3025,5716,934
2024,2787,5799,764
2035,2870,5730,836
2006,2749,5783,744
2041,2861,5734,821
2084,2959,5791,876
2067,2898,5803,832
2036,2892,5666,857
2043,2835,5847,793
2050,2860,5786,811
2056,2948,5633,893
2100,3031,5709,932
2064,2904,5765,841
2089,3010,5715,922
2068,2957,5718,890
2002,2821,5647,820
2059,2890,5800,832
2024,2783,5810,760
2077,2939,5806,863
2044,2840,5811,797
2097,3001,5791,905
2045,2863,5792,819
2037,2816,5818,780
2016,2765,5810,750
2060,2930,5760,871
1998,2703,5825,706
1997,2735,5776,739
2007,2710,5868,704
2046,2857,5807,812
2083,2959,5774,877
1999,2719,5813,721
2041,2863,5764,823
2046,2927,5687,882
2023,2802,5745,780
2032,2829,5782,798
2058,2927,5746,870
1982,2726,5703,745
2040,2840,5753,801
2078,2901,5893,824
2013,2748,5852,736
2076,2970,5729,895
2023,2780,5855,758
2070,2971,5723,902
1994,2769,5704,776
2033,2795,5844,763
2036,2804,5853,769
2076,2914,5827,839
2010,2816,5665,807
2060,2906,5799,847
2119,3094,5775,976
2071,2973,5697,903
1993,2743,5737,751
2023,2823,5729,801
2030,2862,5679,833
2094,2946,5863,853
2047,2932,5664,886
2048,2891,5761,844
2087,2959,5821,873
2038,2854,5763,817
2050,2882,5769,833
2000,2738,5777,739
2016,2806,5723,791
2091,2979,5788,889
2068,2947,5768,880
2072,2955,5730,884
2050,2874,5760,825
2003,2741,5785,739
2016,2828,5672,813
2040,2868,5708,829
2062,2944,5711,883
2030,2857,5744,828
2005,2747,5787,743
2007,2796,5681,790
2094,3030,5724,937
2108,2999,5866,892
1978,2643,5830,666
2079,2952,5783,874
2059,2884,5809,826
2079,2990,5735,912
2064,2905,5806,842
1961,2650,5727,690
2084,2947,5826,864
2073,2928,5809,856
2024,2825,5743,802
2054,2870,5810,817
2037,2799,5845,763
1990,2773,5635,784
2017,2806,5734,790
2025,2861,5690,837
2054,2853,5862,800
2067,2910,5825,844
2022,2809,5740,788
2111,3118,5676,1008
2136,3108,5764,973
2030,2835,5761,806
2018,2767,5794,750
2055,2915,5771,861
2074,2947,5765,874
2003,2788,5734,786
2030,2782,5849,753
2083,2981,5748,899
2060,2968,5661,909
2023,2794,5791,772
2020,2789,5772,770
2049,2900,5746,852
2027,2838,5707,812
2048,2917,5688,870
2079,2946,5814,868
2042,2840,5797,799
2053,2865,5796,813
2070,2964,5720,895
2015,2797,5739,783
2066,2956,5696,891
2059,2883,5817,825
2078,2992,5708,915
2118,3058,5797,941
2055,2869,5781,815
2028,2783,5833,756
2063,2898,5814,836
2001,2774,5725,774
2029,2843,5731,815
2035,2857,5737,823
2067,2936,5730,870
2041,2880,5702,840
2097,2961,5846,865
2100,2984,5846,885
2018,2793,5808,776
1979,2668,5825,690
2045,2885,5760,841
2068,2949,5742,882
2051,2869,5823,819
2113,3061,5753,949
2044,2832,5841,789
2026,2808,5768,783
2062,2911,5794,850
2013,2751,5804,739
2023,2853,5708,831
2057,2871,5823,815
2004,2765,5732,762
2018,2840,5726,823
2085,2947,5822,863
2011,2804,5703,794
2030,2840,5737,811
1984,2691,5777,708
2038,2933,5620,896
2049,2846,5827,798
2093,3016,5751,924
2064,2913,5759,850
2016,2779,5799,764
2002,2746,5753,745
2075,2976,5748,902
2022,2791,5782,770
2091,3010,5752,920
2041,2902,5639,862
2058,2892,5788,835
2023,2846,5718,824
2058,2862,5824,805
2057,2964,5655,908
1995,2736,5774,742
2086,2991,5761,906
2060,2932,5748,873
2035,2837,5754,803
2070,2917,5795,848
2088,2994,5743,907
2021,2777,5821,757
2063,2959,5659,897
2017,2784,5758,768
2053,2916,5713,864
1981,2698,5757,718
2026,2855,5657,830
2060,2924,5728,865
2026,2831,5740,806
2044,2908,5682,865
2106,3090,5651,985
2025,2797,5797,773
2075,2966,5718,892
2052,2875,5775,824
2069,2942,5755,874
2027,2827,5770,801
2092,3012,5731,921
1954,2636,5707,683
2103,3064,5699,962
2050,2876,5790,827
2025,2768,5816,744
2055,2935,5702,881
2101,3083,5647,983
2072,2939,5816,868
2041,2850,5806,810
2029,2825,5770,797
2068,2909,5832,842
2059,2927,5760,869
2067,2955,5712,889
2006,2782,5704,777
2067,2950,5708,884
2022,2836,5735,815
2027,2854,5703,828
2100,3029,5759,930
1993,2717,5784,725
2076,2972,5748,897
2072,2938,5769,867
2067,2956,5676,890
2032,2851,5745,820
2112,3066,5765,955
2062,2909,5780,848
2049,2894,5756,846
2058,2898,5787,841
2083,2954,5788,872
2032,2799,5813,768
2013,2811,5722,799
2017,2819,5716,803
2040,2824,5840,785
2056,3000,5582,945
2059,2895,5811,837
2036,2883,5692,848
2071,2923,5772,853
2090,2937,5866,848
2023,2802,5790,780
2035,2834,5753,800
2065,2925,5789,861
2090,3023,5729,934
1991,2683,5843,693
2013,2725,5870,713
2042,2886,5716,845
2005,2765,5751,761
2001,2692,5842,692
2063,2923,5767,861
2040,2886,5697,847
2049,2935,5674,887
2038,2846,5758,809
2123,3087,5787,965
2098,3007,5800,910
2056,2904,5755,849
2022,2805,5770,784
2018,2796,5754,779
2057,2914,5755,858
2025,2828,5742,804
2058,2903,5772,846
2034,2799,5843,766
2036,2854,5751,819
2023,2779,5806,757
2031,2891,5638,861
2001,2749,5773,749
2073,2914,5819,842
1978,2717,5710,740
2067,2915,5752,849
2048,2868,5759,821
2058,2925,5720,868
2063,2889,5816,827
2026,2843,5738,818
2075,2962,5741,888
2002,2768,5720,767
2027,2820,5754,794
2025,2797,5799,773
2073,2945,5765,873
2037,2840,5765,804
2077,2899,5872,823
2046,2853,5790,808
2027,2832,5734,806
2085,2965,5780,881
2072,2971,5694,900
2025,2753,5866,729
2067,2921,5741,855
2001,2723,5782,723
1986,2717,5742,732
2025,2822,5744,798
2027,2810,5806,784
2067,2932,5748,866
2073,2999,5651,927
2054,2910,5736,857
2045,2926,5669,882
2054,2870,5772,817
1996,2694,5834,699
2065,2941,5737,877
1986,2736,5726,751
2087,2961,5819,875
2038,2895,5679,858
2012,2757,5782,746
2038,2875,5728,838
2089,3022,5745,934
2060,2903,5754,844
2095,3000,5786,906
2004,2755,5749,752
2014,2790,5770,777
2075,2898,5858,824
1978,2698,5767,721
2037,2851,5761,815
2032,2860,5714,829
2044,2871,5730,828
2101,3017,5780,917
2079,2921,5851,843
2024,2790,5824,767
2065,2878,5846,814
2022,2805,5753,784
2064,2914,5780,851
2074,2955,5771,882
2007,2755,5797,749
2039,2872,5738,834
2030,2826,5771,797
2092,3023,5729,932
2045,2861,5796,817
2063,2918,5759,856
2034,2863,5737,830
2068,2938,5747,871
2012,2777,5764,766
2024,2862,5648,839
2016,2821,5694,806
2040,2884,5715,845
2120,3088,5781,969
2086,3010,5731,925
2062,2898,5798,837
2049,2899,5745,851
1993,2801,5617,809
2034,2808,5822,775
2115,3105,5709,991
2097,2995,5811,899
1981,2682,5791,702
2084,2950,5815,867
2078,2994,5710,917
2128,3128,5709,1001
2083,2944,5854,862
2083,3029,5663,947
2015,2817,5701,803
1998,2756,5758,759
2089,2991,5779,903
1967,2652,5797,686
2082,2901,5854,820
2057,2950,5675,894
2035,2881,5689,847
2020,2800,5782,781
2033,2814,5811,782
2077,2964,5748,888
2044,2889,5716,846
2039,2820,5827,782
2019,2751,5869,733
2069,2900,5832,832
2050,2923,5679,874
2102,3042,5734,941
1999,2759,5753,761
2077,2994,5689,918
2029,2793,5817,765
2066,2959,5704,894
2057,2879,5783,823
2060,2889,5804,830
2035,2865,5736,831
2069,2968,5708,900
2028,2848,5725,821
2101,3025,5772,925
2071,2907,5811,837
2011,2781,5749,771
2039,2845,5790,807
2112,3079,5736,968
2030,2809,5792,780
2037,2837,5759,801
2047,2861,5803,815
2057,2920,5750,864
2084,2963,5784,880
2009,2712,5900,704
2036,2792,5844,757
2019,2768,5765,750
2023,2799,5763,777
2072,2946,5759,875
2081,2981,5748,901
2088,2984,5777,897
2011,2745,5798,735
1995,2742,5724,748
1991,2702,5788,712
2025,2777,5814,753
2071,2964,5695,894
2061,2900,5790,840
2027,2824,5752,798
2109,3111,5633,1003
2084,3019,5708,936
2021,2794,5784,774
2112,3075,5735,964
2021,2783,5810,763
2029,2850,5707,822
1992,2710,5805,719
2066,2949,5745,884
2029,2870,5687,842
2003,2771,5702,769
2044,2834,5837,791
2042,2905,5674,864
2037,2874,5707,838
2014,2769,5811,756
2014,2802,5739,789
2083,3009,5722,927
2083,2914,5857,832
2021,2783,5772,763
2057,2902,5798,846
2070,2943,5720,874
2057,2843,5883,787
2029,2845,5727,817
2045,2861,5762,817
2093,2984,5788,892
2064,2946,5707,883
2092,3010,5781,919
2049,2863,5766,815
2051,2879,5747,829
1992,2706,5795,715
2058,2966,5663,909
2023,2764,5848,742
2056,2911,5743,856
2036,2842,5778,807
2062,2876,5870,815
2028,2803,5787,776
2073,2977,5709,905
1992,2734,5733,743
2035,2840,5741,806
2016,2772,5792,757
2006,2811,5677,806
2037,2839,5766,803
2094,3002,5789,909
2086,2944,5833,859
2064,2929,5742,866
2022,2817,5743,796
1990,2657,5884,668
2044,2935,5635,892
2039,2819,5829,781
2070,2978,5680,909
2088,3002,5739,915
2027,2805,5778,779
2024,2865,5655,842
2082,2979,5765,898
2007,2758,5778,752
2046,2839,5836,794
2037,2873,5685,837
2098,3038,5739,941
2055,2904,5740,850
2053,2905,5744,853
2056,2921,5756,866
2016,2811,5712,796
2021,2828,5707,808
2086,2963,5809,878
2048,2934,5660,887
2122,3071,5792,950
2099,3040,5721,942
2015,2740,5873,726
2067,2952,5718,886
2022,2829,5710,808
2052,2861,5839,810
2070,2966,5700,897
2026,2767,5861,742
2054,2837,5889,784
2053,2857,5788,805
2081,2985,5736,905
2040,2870,5712,831
2058,2895,5748,838
2063,2928,5765,866
2034,2857,5750,824
2029,2840,5737,812
2061,2907,5792,847
2006,2725,5850,720
2040,2810,5847,771
2066,2925,5746,860
2072,2990,5676,919
2094,2992,5774,899
2015,2830,5675,816
2023,2833,5712,811
2006,2769,5757,764
2070,2928,5789,859
2065,2944,5735,880
2089,2987,5775,899
2009,2771,5777,763
2023,2822,5764,800
2039,2844,5768,806
2062,2882,5836,821
2076,2969,5735,894
2065,2898,5841,834
2015,2786,5752,772
2003,2751,5792,749
2032,2869,5695,838
2044,2821,5867,778
2015,2746,5831,732
2030,2832,5721,803
2086,2962,5789,877
2082,2962,5748,881
1992,2775,5654,784
2075,2966,5741,892
2070,2972,5712,903
1982,2711,5751,730
2023,2801,5787,779
2038,2909,5672,872
2058,2941,5667,884
2027,2801,5814,775
2012,2747,5794,736
2055,2947,5719,893
2062,2890,5806,829
2025,2792,5811,768
2055,2887,5764,833
1990,2690,5811,701
2054,2897,5741,844
2131,3122,5732,992
2047,2884,5735,838
2074,2994,5700,921
2037,2860,5772,824
2064,2960,5704,897
2066,2950,5749,885
2129,3139,5707,1011
2078,2929,5840,852
1995,2743,5761,749
2013,2751,5828,739
2001,2813,5641,813
2082,2990,5738,909
2042,2858,5775,817
2014,2755,5812,742
2032,2842,5757,811
2103,3076,5695,974
2041,2863,5756,823
2091,2954,5845,864
2060,2963,5682,904
1992,2704,5810,713
2096,3027,5727,932
2043,2903,5720,861
2090,2977,5767,888
2028,2801,5774,774
2018,2753,5838,736
2089,3047,5652,959
2002,2799,5687,798
1998,2699,5841,702
2039,2873,5746,835
2103,3020,5765,918
2084,3006,5708,923
2060,2901,5773,842
2054,2896,5773,843
2029,2785,5854,757
2036,2811,5820,776
2040,2883,5699,844
2046,2923,5670,878
2093,3066,5668,974
1977,2696,5705,720
2074,2928,5782,855
2076,2959,5780,884
2023,2848,5690,826
2083,2994,5726,912
2098,3023,5772,926
2101,2985,5852,885
2063,2921,5770,859
2061,2953,5677,893
2065,2914,5810,850
2056,2880,5787,825
2029,2787,5825,759
2054,2904,5728,851
2101,3061,5710,961
2054,2938,5698,885
2100,3016,5779,917
2072,2940,5776,869
2074,2959,5772,886
2019,2764,5805,746
2100,3022,5764,923
2093,3031,5700,939
2009,2809,5718,801
2061,2920,5729,860
2042,2858,5765,817
2041,2848,5787,808
2052,2931,5703,880
2071,2915,5802,845
2101,3023,5766,923
2025,2806,5749,782
1998,2691,5862,694
2055,2874,5807,820
2057,2912,5713,856
2095,3017,5740,923
2076,2993,5704,918
2094,3054,5684,961
2049,2877,5795,829
2068,2971,5676,904
2034,2828,5786,795
2070,2915,5821,846
2051,2903,5726,853
2067,2953,5703,887
2025,2800,5769,776
2039,2856,5750,818
2126,3102,5751,977
2024,2838,5738,815
2039,2893,5694,855
2063,2910,5796,848
2075,2940,5798,866
2091,3005,5744,915
2025,2777,5848,753
2052,2927,5712,876
2041,2882,5737,842
2047,2890,5734,844
2060,2913,5766,854
2057,2889,5776,833
2062,2902,5798,841
2099,2983,5816,885
2036,2796,5818,761
2035,2830,5781,796
2063,2939,5721,877
2064,2907,5797,844
